Type	Date/Time	Description
Info	8:27:22 10/20/2023	Cosmic Ray Filter set to True
Info	8:27:22 10/20/2023	Intensity Correction set to True
Info	8:27:22 10/20/2023	Initializing experiment (no templates)
Info	8:27:22 10/20/2023	Instrument: Raman Device
Info	8:27:22 10/20/2023	Configuration: Model Name: Rxn2PhAT-785, Serial Number: Rxn2PhAT-SN0063176, Probe Type: Phat, Configuration: PHATPROBE, Resampling Interval: 1 cm-1; Channel 1; Auto-Adjust Exposure: Disabled, Accumulations: 3, Exposure Time: 10 sec, Cosmic Ray Removal: True, Intensity Correction: True
Info	8:27:24 10/20/2023	START OF EXPERIMENT (Relative time zero)
Sample	8:31:38 10/20/2023	Sample 1 acquired at 00:04:14
Annotation	8:31:38 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_withlamp_1
Sample	8:32:22 10/20/2023	Sample 2 acquired at 00:04:58
Annotation	8:32:22 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_withlamp_2
Sample	8:33:10 10/20/2023	Sample 3 acquired at 00:05:46
Annotation	8:33:10 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_withlamp_3
Annotation	8:33:31 10/20/2023	Manually changed Exposure time to 5 seconds and Scans to 4.
Sample	8:34:36 10/20/2023	Sample 4 acquired at 00:07:12
Annotation	8:34:36 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_withlamp_1
Sample	8:35:23 10/20/2023	Sample 5 acquired at 00:07:59
Annotation	8:35:23 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_withlamp_2
Sample	8:35:55 10/20/2023	Sample 6 acquired at 00:08:31
Annotation	8:35:55 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_withlamp_3
Annotation	8:36:18 10/20/2023	Manually changed Exposure time to 2 seconds and Scans to 5.
Sample	8:37:02 10/20/2023	Sample 7 acquired at 00:09:38
Annotation	8:37:02 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_withlamp_1
Sample	8:37:37 10/20/2023	Sample 8 acquired at 00:10:13
Annotation	8:37:37 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_withlamp_2
Sample	8:38:01 10/20/2023	Sample 9 acquired at 00:10:37
Annotation	8:38:01 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_withlamp_3
